cohort,endpoint,classification,p_value_family,total_pairs,neither_detected,llm_only,dpca_only,both_detected,difference_llm_minus_dpca_minutes_conditional_n,difference_llm_minus_dpca_minutes_mean,difference_llm_minus_dpca_minutes_sd,difference_llm_minus_dpca_minutes_median,difference_llm_minus_dpca_minutes_q1,difference_llm_minus_dpca_minutes_q3,difference_llm_minus_dpca_minutes_iqr,difference_llm_minus_dpca_minutes_minimum,difference_llm_minus_dpca_minutes_maximum,difference_llm_minus_dpca_minutes_mean_ci95_lower,difference_llm_minus_dpca_minutes_mean_ci95_upper,difference_llm_minus_dpca_minutes_mean_ci_method,difference_llm_minus_dpca_minutes_mean_ci_fallback_reason,difference_llm_minus_dpca_minutes_median_ci95_lower,difference_llm_minus_dpca_minutes_median_ci95_upper,difference_llm_minus_dpca_minutes_median_ci_method,difference_llm_minus_dpca_minutes_median_ci_fallback_reason,sign_test_positive,sign_test_negative,sign_test_ties,sign_test_binomial_denominator,sign_test_exact_two_sided_p,sign_test_exact_two_sided_p_holm_secondary_delay_family,sign_test_status,conditioning
target,raw_post_onset_indication,SECONDARY,SECONDARY_PAIRED_DELAY_SIGN_TESTS,50,0,0,0,50,50,55.62,94.4204427018,63,2.25,115.5,113.25,-120,270,29.58,81.6621664929,BCa_95,,34.5,87,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE,37,12,1,49,0.000469757318008,0.000469757318008,EXACT_BINOMIAL_TWO_SIDED_TIES_EXCLUDED,ONLY_PAIRS_WHERE_SAME_ENDPOINT_DEFINED_FOR_BOTH
target,confirmed_post_onset_detection,SECONDARY,SECONDARY_PAIRED_DELAY_SIGN_TESTS,50,0,0,0,50,50,182.34,91.992814715,174,125.25,223.5,98.25,-69,495,159.18,209.52,BCa_95,,150,195,BCa_95,,49,1,0,50,9.05941988094e-14,1.81188397619e-13,EXACT_BINOMIAL_TWO_SIDED_TIES_EXCLUDED,ONLY_PAIRS_WHERE_SAME_ENDPOINT_DEFINED_FOR_BOTH
