cohort,detector,analysis_set,endpoint,events,runs_eligible,proportion,point_estimate_interpretation,interval_primary,interval_interpretation,wilson_95_lower,wilson_95_upper,clopper_pearson_sensitivity_applicable,clopper_pearson_95_lower,clopper_pearson_95_upper
target,DPCA,expanded,raw_post_onset_indication,500,500,1,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.992375659538,1,True,0.992649389948,1
target,DPCA,expanded,confirmed_post_onset_detection,500,500,1,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.992375659538,1,True,0.992649389948,1
target,DPCA,expanded,no_confirmed_post_onset_detection,0,500,0,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0,0.00762434046155,True,0,0.00735061005191
normal_holdout,DPCA,expanded,any_raw_false_alarm,500,500,1,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.992375659538,1,True,0.992649389948,1
normal_holdout,DPCA,expanded,any_confirmed_false_alarm,380,500,0.76,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.720673202993,0.795362139967,False,,
normal_holdout,DPCA,expanded,no_any_confirmed_false_alarm,120,500,0.24,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.204637860033,0.279326797007,False,,
