cohort,detector,analysis_set,endpoint,events,runs_eligible,proportion,point_estimate_interpretation,interval_primary,interval_interpretation,wilson_95_lower,wilson_95_upper,clopper_pearson_sensitivity_applicable,clopper_pearson_95_lower,clopper_pearson_95_upper
target,LLM,principal,raw_pre_onset_false_alarm,34,50,0.68,RUN_LEVEL_SAMPLE_ESTIMATE,WILSON_95,RUN_LEVEL_BINOMIAL_PROPORTION_INTERVAL,0.541897026919,0.792417837393,False,,
target,LLM,principal,confirmed_pre_onset_false_alarm,3,50,0.06,RUN_LEVEL_SAMPLE_ESTIMATE,WILSON_95,RUN_LEVEL_BINOMIAL_PROPORTION_INTERVAL,0.020614970349,0.162170916888,False,,
target,DPCA,paired,raw_pre_onset_false_alarm,43,50,0.86,RUN_LEVEL_SAMPLE_ESTIMATE,WILSON_95,RUN_LEVEL_BINOMIAL_PROPORTION_INTERVAL,0.738138062894,0.93049166573,False,,
target,DPCA,paired,confirmed_pre_onset_false_alarm,5,50,0.1,RUN_LEVEL_SAMPLE_ESTIMATE,WILSON_95,RUN_LEVEL_BINOMIAL_PROPORTION_INTERVAL,0.0434757649319,0.213602314375,False,,
target,DPCA,expanded,raw_pre_onset_false_alarm,403,500,0.806,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.769060370281,0.838273533357,False,,
target,DPCA,expanded,confirmed_pre_onset_false_alarm,98,500,0.196,DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,WILSON_95,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,0.163578106614,0.233057492386,False,,
