cohort,detector,analysis_set,endpoint,total_runs,event_runs,point_estimate_interpretation,bootstrap_interval_interpretation,delay_minutes_conditional_n,delay_minutes_mean,delay_minutes_sd,delay_minutes_median,delay_minutes_q1,delay_minutes_q3,delay_minutes_iqr,delay_minutes_minimum,delay_minutes_maximum,delay_minutes_mean_ci95_lower,delay_minutes_mean_ci95_upper,delay_minutes_mean_ci_method,delay_minutes_mean_ci_fallback_reason,delay_minutes_median_ci95_lower,delay_minutes_median_ci95_upper,delay_minutes_median_ci_method,delay_minutes_median_ci_fallback_reason
target,LLM,principal,raw_post_onset_indication,50,50,CONDITIONAL_RUN_LEVEL_SAMPLE_ESTIMATE,RUN_LEVEL_BOOTSTRAP_INTERVAL,50,144.6,84.7098288396,147,87,192,105,12,372,122.4,168.3,BCa_95,,117,177,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE
target,LLM,principal,confirmed_post_onset_detection,50,50,CONDITIONAL_RUN_LEVEL_SAMPLE_ESTIMATE,RUN_LEVEL_BOOTSTRAP_INTERVAL,50,309.9,100.509365997,297,267,357,90,87,642,284.7,339.6,BCa_95,,282,334.5,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE
target,DPCA,paired,raw_post_onset_indication,50,50,CONDITIONAL_RUN_LEVEL_SAMPLE_ESTIMATE,RUN_LEVEL_BOOTSTRAP_INTERVAL,50,88.98,50.6969749128,90,49.5,132,82.5,0,207,75.18,103.08,BCa_95,,81,102,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE
target,DPCA,paired,confirmed_post_onset_detection,50,50,CONDITIONAL_RUN_LEVEL_SAMPLE_ESTIMATE,RUN_LEVEL_BOOTSTRAP_INTERVAL,50,127.56,53.3575387249,132,96,156,60,24,333,113.7,143.58,BCa_95,,105,144,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE
target,DPCA,expanded,raw_post_onset_indication,500,500,CONDITIONAL_DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,500,84.438,54.0498003496,82.5,47.25,115.5,68.25,0,324,79.7080266306,89.154,BCa_95,,73.5,87,BCa_95,
target,DPCA,expanded,confirmed_post_onset_detection,500,500,CONDITIONAL_DESCRIPTION_OF_COMPLETE_500_RUN_FORMAL_CORPUS,MODEL_BASED_EXTRAPOLATION_TO_ANALOGOUS_TEP_TRAJECTORIES_NOT_UNCERTAINTY_OF_OBSERVED_CORPUS,500,120.504,55.1150553174,112.5,84,150,66,6,342,115.826233951,125.45262582,BCa_95,,108,120,BCa_95,
