cohort,endpoint,classification,p_value_family,pairs,llm0_dpca0,llm0_dpca1,llm1_dpca0,llm1_dpca1,concordant_pairs,concordance,dpca_only,llm_only,paired_difference_llm_minus_dpca,paired_difference_ci95_lower,paired_difference_ci95_upper,paired_difference_ci_method,paired_difference_ci_fallback_reason,mcnemar_exact_two_sided_p_raw,mcnemar_status,mcnemar_exact_two_sided_p_holm_primary_family,mcnemar_exact_two_sided_p_holm_secondary_raw_family
target,raw_post_onset_indication,SECONDARY,SECONDARY_RAW_BINARY,50,0,0,0,50,50,1,0,0,0,0,0,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE,1,NO_DISCORDANT_PAIRS,,1
target,confirmed_post_onset_detection,PRIMARY,PRIMARY_CONFIRMED_BINARY,50,0,0,0,50,50,1,0,0,0,0,0,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE,1,NO_DISCORDANT_PAIRS,1,
normal_holdout,raw_false_alarm,SECONDARY,SECONDARY_RAW_BINARY,50,0,0,0,50,50,1,0,0,0,0,0,PERCENTILE_95_FALLBACK,BCa_ACCELERATION_UNDEFINED_DEGENERATE_JACKKNIFE,1,NO_DISCORDANT_PAIRS,,1
normal_holdout,confirmed_false_alarm,PRIMARY,PRIMARY_CONFIRMED_BINARY,50,5,25,3,17,22,0.44,25,3,-0.44,-0.6,-0.26,BCa_95,,2.74404883385e-05,EXACT_BINOMIAL_TWO_SIDED,5.48809766769e-05,
